time_local,issue_date,horizon_h,plant_p50,plant_p10,plant_p90,plant_mean,T1_p50,T1_p10,T1_p90,T1_mean,T2_p50,T2_p10,T2_p90,T2_mean
2026-02-01 00:00:00,2026-01-31,14.0,0.0218,0.0,0.1958,0.0582,0.025,0.0,0.174,0.053,0.0201,0.0,0.1613,0.0612
2026-02-01 01:00:00,2026-01-31,15.0,0.0094,0.0,0.0475,0.0311,0.0268,0.0001,0.061,0.0327,0.0228,0.0,0.0501,0.0267
2026-02-01 02:00:00,2026-01-31,16.0,0.0091,0.0,0.0288,0.0226,0.0091,0.0,0.02,0.0239,0.0084,0.0,0.0214,0.0158
2026-02-01 03:00:00,2026-01-31,17.0,0.0089,0.0,0.0273,0.0311,0.01,0.0,0.0363,0.0311,0.0094,0.0,0.0238,0.021
2026-02-01 04:00:00,2026-01-31,18.0,0.0147,0.0,0.0552,0.0456,0.0109,0.0,0.04,0.0343,0.0128,0.0,0.0412,0.0267
2026-02-01 05:00:00,2026-01-31,19.0,0.0099,0.0,0.0626,0.0438,0.0105,0.0,0.0402,0.0308,0.0188,0.0,0.0932,0.0251
2026-02-01 06:00:00,2026-01-31,20.0,0.0089,0.0,0.0281,0.0111,0.0111,0.0,0.0553,0.0284,0.0146,0.0,0.0977,0.0147
2026-02-01 07:00:00,2026-01-31,21.0,0.0157,0.0,0.0708,0.0299,0.0109,0.0,0.1037,0.0343,0.0157,0.0,0.1741,0.0144
2026-02-01 08:00:00,2026-01-31,22.0,0.0239,0.0,0.1892,0.0628,0.0351,0.0,0.2536,0.0616,0.0347,0.0,0.2347,0.032
2026-02-01 09:00:00,2026-01-31,23.0,0.0696,0.0,0.2521,0.09,0.0524,0.0,0.3005,0.0935,0.0625,0.0,0.2686,0.0702
2026-02-01 10:00:00,2026-01-31,24.0,0.0788,0.0,0.2892,0.105,0.075,0.0,0.4006,0.1286,0.0845,0.0,0.3542,0.111
2026-02-01 11:00:00,2026-01-31,25.0,0.0915,0.0,0.4794,0.1661,0.0911,0.0009,0.5277,0.1711,0.1324,0.0001,0.5787,0.1729
2026-02-01 12:00:00,2026-01-31,26.0,0.0751,0.0046,0.6197,0.1823,0.0978,0.0073,0.6156,0.1587,0.1336,0.0,0.6549,0.1905
2026-02-01 13:00:00,2026-01-31,27.0,0.1417,0.006,0.6681,0.2392,0.1399,0.006,0.6653,0.2088,0.1577,0.0016,0.7157,0.2585
2026-02-01 14:00:00,2026-01-31,28.0,0.1726,0.0118,0.6751,0.2746,0.1385,0.0218,0.6576,0.2554,0.182,0.0042,0.7438,0.304
2026-02-01 15:00:00,2026-01-31,29.0,0.2235,0.0206,0.7196,0.3061,0.1891,0.0244,0.6959,0.2612,0.2172,0.0239,0.7716,0.3531
2026-02-01 16:00:00,2026-01-31,30.0,0.1981,0.0112,0.7231,0.2931,0.1883,0.0228,0.7048,0.2852,0.2219,0.0105,0.7809,0.3109
2026-02-01 17:00:00,2026-01-31,31.0,0.251,0.0103,0.7018,0.3204,0.1933,0.0198,0.7479,0.2759,0.2633,0.0086,0.7683,0.3262
2026-02-01 18:00:00,2026-01-31,32.0,0.2465,0.0014,0.5785,0.2982,0.2424,0.0087,0.6448,0.2886,0.2437,0.004,0.5959,0.2806
2026-02-01 19:00:00,2026-01-31,33.0,0.1655,0.0,0.5013,0.1613,0.1895,0.0143,0.5718,0.1856,0.1754,0.0017,0.5276,0.184
2026-02-01 20:00:00,2026-01-31,34.0,0.1241,0.0079,0.4976,0.1828,0.1779,0.0181,0.584,0.1929,0.1506,0.0119,0.5049,0.1791
2026-02-01 21:00:00,2026-01-31,35.0,0.1521,0.0138,0.5207,0.22,0.1513,0.0379,0.6166,0.2208,0.1387,0.0184,0.528,0.2096
2026-02-01 22:00:00,2026-01-31,36.0,0.1837,0.0224,0.5475,0.2255,0.2155,0.0533,0.6231,0.2488,0.158,0.032,0.5578,0.225
2026-02-01 23:00:00,2026-01-31,37.0,0.1667,0.0131,0.5331,0.1909,0.1836,0.0328,0.5968,0.2125,0.1646,0.0215,0.5205,0.1843
